	ID	Name
天业股份(600807)	600807	天业股份
马钢股份(600808)	600808	马钢股份
山西汾酒(600809)	600809	山西汾酒
神马股份(600810)	600810	神马股份
东方集团(600811)	600811	东方集团
华北制药(600812)	600812	华北制药
ST鞍一工(600813)	600813	ST鞍一工
杭州解百(600814)	600814	杭州解百
厦工股份(600815)	600815	厦工股份
安信信托(600816)	600816	安信信托
ST宏盛(600817)	600817	ST宏盛
中路股份(600818)	600818	中路股份
耀皮玻璃(600819)	600819	耀皮玻璃
隧道股份(600820)	600820	隧道股份
津劝业(600821)	600821	津劝业
上海物贸(600822)	600822	上海物贸
世茂股份(600823)	600823	世茂股份
益民集团(600824)	600824	益民集团
新华传媒(600825)	600825	新华传媒
兰生股份(600826)	600826	兰生股份
百联股份(600827)	600827	百联股份
成商集团(600828)	600828	成商集团
人民同泰(600829)	600829	人民同泰
